concept,normal_form,n_triples,n_papers,n_relations,n_neighbors,degree_centrality
mediterranean continental margin,mediterranean continental margin,1,1,1,1,0.0065
mediterranean continental margins,mediterranean continental margin,1,1,1,1,0.0065
migration of depocenters,migration of depocenter,1,1,1,1,0.0065
passive margin,passive margin,1,1,1,1,0.0065
potential for mass-transport events,potential for mass transport event,1,1,1,1,0.0065
preserved block,preserved block,1,2,1,1,0.0065
rapid sediment accumulation,rapid sediment accumulation,1,2,1,1,0.0065
reduction of shear strength of sediment,reduction of shear strength of sediment,1,1,1,1,0.0065
remnant and rafted blocks,remnant and rafted block,1,2,1,1,0.0065
rise of the hydrostatic pressure,rise of the hydrostatic pressure,1,1,1,1,0.0065
rough topography,rough topography,1,1,1,1,0.0065
rugged upper surface,rugged upper surface,1,1,1,1,0.0065
sea floor slope,sea floor slope,1,1,1,1,0.0065
sea level fall,sea level fall,1,1,1,1,0.0065
sediment or rock to fail,sediment or rock to fail,1,1,1,1,0.0065
sediment pinch-out,sediment pinch out,1,0,1,1,0.0065
sediment vulnerability to damage,sediment vulnerability to damage,1,1,1,1,0.0065
seismic trigger,seismic trigger,1,1,1,1,0.0065
shift of depocenters towards the outer shelf,shift of depocenter toward the outer shelf,1,1,1,1,0.0065
siliciclastic unit,siliciclastic unit,1,1,1,1,0.0065
slope angle,slope angle,1,0,1,1,0.0065
slope instability,slope instability,1,2,1,1,0.0065
small permeability,small permeability,1,1,1,1,0.0065
stability criterion,stability criterion,1,1,1,1,0.0065
stable paleo-lakebed,stable paleo lakebed,1,1,1,1,0.0065
storm waves,storm wave,1,1,1,1,0.0065
strength development,strength development,1,1,1,1,0.0065
strongly deformed allochthonous masses,strongly deformed allochthonous masse,1,1,1,1,0.0065
submarine slide,submarine slide,1,1,1,1,0.0065
subsequent flows,subsequent flow,1,1,1,1,0.0065
tectonically active margin,tectonically active margin,1,4,1,1,0.0065
thickness of mass transport deposits,thickness of mass transport deposit,1,1,1,1,0.0065
thin,thin,1,1,1,1,0.0065
toe,toe,1,2,1,1,0.0065
translational sliding,translational sliding,1,1,1,1,0.0065
turbidite system,turbidite system,1,7,1,1,0.0065
up to 500m in thickness,up to 500m in thickness,1,1,1,1,0.0065
upper slope,upper slope,1,5,1,1,0.0065
upper surface,upper surface,1,2,1,1,0.0065
volume and pressure buildup,volume and pressure buildup,1,1,1,1,0.0065
wedge-shaped,wedge shaped,1,2,1,1,0.0065
