concept,normal_form,n_triples,n_papers,n_relations,n_neighbors,degree_centrality
erosional scour,erosional scour,1,0,1,1,0.0063
erosive capability of the flow,erosive capability of the flow,1,1,1,1,0.0063
espírito santo basin,espírito santo basin,1,1,1,1,0.0063
excess pore pressure,excess pore pressure,1,5,1,1,0.0063
excess pore-water pressures,excess pore water pressure,1,1,1,1,0.0063
extensional domain,extensional domain,1,3,1,1,0.0063
external perturbations,external perturbation,1,1,1,1,0.0063
faulted,faulted,1,3,1,1,0.0063
flow,flow,1,1,1,1,0.0063
fold,fold,1,6,1,1,0.0063
formation of bipartite flow,formation of bipartite flow,1,1,1,1,0.0063
formation of layer of weakness,formation of layer of weakness,1,1,1,1,0.0063
formation of upper low-density layer,formation of upper low density layer,1,1,1,1,0.0063
free gas,free gas,1,2,1,1,0.0063
gas hydrate disassociation,gas hydrate disassociation,1,1,1,1,0.0063
gas-hydrate dissociation,gas hydrate dissociation,1,1,1,1,0.0063
gravitational spreading,gravitational spreading,1,1,1,1,0.0063
hemipelagite,hemipelagite,1,3,1,1,0.0063
higher shear stresses,higher shear stresse,1,1,1,1,0.0063
incision of lateral ramps,incision of lateral ramp,1,0,1,1,0.0063
increased development of shear stress,increased development of shear stress,1,1,1,1,0.0063
increased sand content,increased sand content,1,1,1,1,0.0063
instability,instability,1,1,1,1,0.0063
late period erosion,late period erosion,1,1,1,1,0.0063
length of the sliding sheet,length of the sliding sheet,1,1,1,1,0.0063
"liquefaction of coarse-grained, cohesionless soils",liquefaction of coarse grained cohesionless soil,1,1,1,1,0.0063
lower headwall formation,lower headwall formation,1,1,1,1,0.0063
overpressure development,overpressure development,1,1,1,1,0.0063
pore-fluid overpressure,pore fluid overpressure,1,1,1,1,0.0063
potential for mass-transport events,potential for mass transport event,1,1,1,1,0.0063
preserved block,preserved block,1,2,1,1,0.0063
ramps and promontories,ramp and promontorie,1,1,1,1,0.0063
rapid rate of sedimentation,rapid rate of sedimentation,1,1,1,1,0.0063
rapid sedimentation,rapid sedimentation,1,1,1,1,0.0063
remnant and rafted blocks,remnant and rafted block,1,2,1,1,0.0063
remnant block,remnant block,1,2,1,1,0.0063
retarded strength development,retarded strength development,1,1,1,1,0.0063
rugged upper surface,rugged upper surface,1,1,1,1,0.0063
sand content increase,sand content increase,1,1,1,1,0.0063
sea floor slope,sea floor slope,1,1,1,1,0.0063
sea level fall,sea level fall,1,1,1,1,0.0063
seabed instability,seabed instability,1,1,1,1,0.0063
seaﬂoor,seaﬂoor,1,10,1,1,0.0063
sediment approaching liquefaction,sediment approaching liquefaction,1,1,1,1,0.0063
seismic activity,seismic activity,1,1,1,1,0.0063
seismic loading,seismic loading,1,3,1,1,0.0063
seismic trigger,seismic trigger,1,1,1,1,0.0063
slide sheet,slide sheet,1,1,1,1,0.0063
slope instability,slope instability,1,2,1,1,0.0063
slope stability,slope stability,1,2,1,1,0.0063
slumping,slumping,1,1,1,1,0.0063
stability criterion,stability criterion,1,1,1,1,0.0063
stable paleo-lakebed,stable paleo lakebed,1,1,1,1,0.0063
steepening up-dip,steepening up dip,1,1,1,1,0.0063
steepest portion of the slope,steepest portion of the slope,1,1,1,1,0.0063
storm waves,storm wave,1,1,1,1,0.0063
subaqueous slope failure,subaqueous slope failure,1,2,1,1,0.0063
tabular,tabular,1,1,1,1,0.0063
tectonically active margin,tectonically active margin,1,4,1,1,0.0063
thin,thin,1,1,1,1,0.0063
three structural domains,three structural domain,1,1,1,1,0.0063
translational domain,translational domain,1,1,1,1,0.0063
translational sliding,translational sliding,1,1,1,1,0.0063
turbidite system,turbidite system,1,5,1,1,0.0063
up to 500m in thickness,up to 500m in thickness,1,1,1,1,0.0063
upper slope,upper slope,1,5,1,1,0.0063
upper surface,upper surface,1,2,1,1,0.0063
variable-amplitude,variable amplitude,1,1,1,1,0.0063
volume and pressure buildup,volume and pressure buildup,1,1,1,1,0.0063
wave action,wave action,1,1,1,1,0.0063
wave loading,wave loading,1,1,1,1,0.0063
wave-loading effects,wave loading effect,1,1,1,1,0.0063
wedge-shaped,wedge shaped,1,2,1,1,0.0063
whole wedge failures,whole wedge failure,1,1,1,1,0.0063
